id,nome,marca
4012,Esponja Mágica com 3 Unidades Melamina Limpeza Pesada,TEKBOND
4013,Esponja Rovlies com 10 un,ROTHENBERGER
4014,Espuma Expansiva de Pu Uso Profissional 480g/500ml,TEKBOND
4015,Espuma Expansiva Poliuretano 340g/500ml,ORBI
4018,"Esquadro Profissional 12""",STANLEY
4020,Estante Modulada com 108 Gavetas N3 Azul,PRESTO
4021,"Estante Modulada com 49 Gavetas N 3,5 e 7 Azul",PRESTO
4022,Estante Modulada com 54 Gavetas N5 Azul,PRESTO
4023,Esteira com Encosto para Mecânico,MARCON
4025,Esteira para Mecânico com Encosto e Porta Ferramentas,RIOSUL
4028,Esticador e Puxador Hidráulico,BOVENAU
4030,Esticador Hidráulico 10 Ton,RIBEIRO
4032,Esticador Hidráulico (Ref 10TON.),MARCON
4033,Esticador Hidráulico 6 Ton,RIBEIRO
4034,Esticador Hidráulico (Ref 6TON.),MARCON
4035,Esticador Hidráulico de 6 Toneladas,BOVENAU
4039,Estilete Lâmina de Metal 25MM,MTX
4040,Estilete Profissional 18MM,LUFKIN
4041,Estilete Profissional 25mm,IRWIN
4045,Estilete Retrátil Reforçado Todos os Cortes,IRWIN
4049,Estilete Sap-off 18MM,IRWIN
4051,Estilete Snap Off Stand 9mm,IRWIN
4052,Estilete Trapezoidal Auto Retrátil de Segurança com Lâmina 18mm,LUFKIN
4054,Estilete Trapezoidal Retrátil Standard,IRWIN
4074,Extensão de 60cm para Perfurador de Solo,VULCAN
4075,Extensão de Impacto - 1 X,LDR2
4123,"Faca 2 Pontas 350mm Furo 25mm Espessura 2,7mm para Roçadeiras",SPIN
4124,"Faca 3 Pontas Furo 25mm Tamanho 300mm Espessura 2,9mm",SPIN
4135,Fechadura Concept Espelhada Externa 403E Cromada,PADO
4136,Fechadura Externa Perfil Estreito Serralheiro Concept 600 22mm Cromada,PADO
4137,"Fecho Portão 86,5mm Zincado",SOPRANO
4138,"Ferro de Pua 5/16 X 305 mm 5/16""x12""",IRWIN
4139,Ferro de Pua 8X1/4 191mm,IRWIN
4140,"Ferro de Pua Mathieson para Madeira de 1/2"" X 12"" (13mm X 35mm) -IW348",IRWIN
4141,"Ferro de Pua para Madeira 305 mm 12""X 7/16'' Rosca Mathieson",IRWIN
4142,"Ferro de Pua para Madeira 305mm 12 X 3/8"" Rosca Mathieson",IRWIN
4143,"Ferro de Pua para Madeira 5/16"" X 8"" Rosca Mathieson",IRWIN
4144,"Ferro de Pua para Madeira/metal 5/8"" X 12"" Rosca Mathieson",IRWIN
4145,"Ferro de Puapara Madeira de 9/16 X 12"" Rosca Mathieson",IRWIN
4149,Ferro de Soldar 30W 220V,FAME
4150,Ferro de Soldar 220V 70W,FAME
4151,Ferro de Soldar Machadinho 320w 220v,FAME
4155,Filtro de Ar com Elemento FS0070-U 3/4 BSP,SCHULZ
4156,"Filtro de Ar e Lubrificador com Proteção 1/2"" -3363",BREMEN
4160,Filtro e Regulador de Ar 1/2 Pol.,PDR
4161,Filtro e Regulador de Ar 1/4 Pol.,PDR
4162,Filtro Regulador de Ar Centurium DDA 1/2 Pol. com Protetor,ARPREX
4163,"Filtro Regulador e Lubrificador 1/4"" 7,25-116 PSI 650 L/min",BOZZA
4167,Fita Antiderrapante 50mm X 5m,3M
4168,Fita Antiderrapante Preta 50mm X 5m,TEKBOND
4169,Fita Antiderrapante Safety Fosfore 50mm X 5m,3M
4170,Fita Antiderrapante Safety PVC TR 50mm X 5m,3M
4171,Fita Antiderrapante Safety Transparente 50mm X 5m,3M
4172,Fita Crepe 18MM X 50M,TEKBOND
4173,Fita Crepe 24MM X 50M,TEKBOND
4174,Fita Crepe 48MM X 50M,TEKBOND
4175,"Fita de Aço Perfurada Âncora 17mm X 0,40mm X 30m",ANCORA
4176,Fita de Demarcação Amarela 48MM X 15M,TEKBOND
4177,Fita de Demarcação Vermelha 48MM X 15M,TEKBOND
4178,Fita de Embalagem 48mm X 50m,3M
4179,Fita de Embalagem Tartan 48mm X 50m,3M
4180,Fita de Sinalização 70mm X 200m,3M
4181,Fita Duct Tape 50MM X 10M,CARBOGRAFITE
4182,Fita Dupla Face 12mm X 20mm -21121001220,TEKBOND
4183,"Fita Dupla Face 19MM X 1,5M",TEKBOND
4184,Fita Dupla Face 4494 19mm X 5m,3M
4185,"Fita Dupla Face Espuma 12mm X 1,5m",TEKBOND
4186,Fita Dupla Face Fixa Forte 12mm X 2,3M
4187,"Fita Dupla Face Fixa Forte 24mm X 1,5m",3M
4188,"Fita Dupla Face Fixa Forte Banheiro 24mm X 1,5m",3M
4189,"Fita Dupla Face Fixa Forte Cozinha 24mm X 1,5m",3M
4190,"Fita Dupla Face Fixa Forte Espuma 12mm X 1,5m",3M
4191,Fita Dupla Face Fixa Forte Extrema 24mm X 2m,3M
4192,Fita Dupla Face Fixa Forte Transparente 12mm X 2,3M
4193,Fita Dupla Face Fixa Forte Transparente 19mm X 2,3M
4194,Fita Dupla Face Fixa Forte Transparente 24mm X 2,3M
4195,Fita Dupla Face IG 110wf 19mm X 20m,3M
