id,nome,marca
4012,Esponja Mágica com 3 Unidades Melamina Limpeza Pesada,TEKBOND
4013,Esponja Rovlies com 10 un,ROTHENBERGER
4020,Estante Modulada com 108 Gavetas N3 Azul,PRESTO
4021,"Estante Modulada com 49 Gavetas N 3,5 e 7 Azul",PRESTO
4022,Estante Modulada com 54 Gavetas N5 Azul,PRESTO
4023,Esteira com Encosto para Mecânico,MARCON
4025,Esteira para Mecânico com Encosto e Porta Ferramentas,RIOSUL
4074,Extensão de 60cm para Perfurador de Solo,VULCAN
4075,Extensão de Impacto - 1 X,LDR2
4135,Fechadura Concept Espelhada Externa 403E Cromada,PADO
4137,"Fecho Portão 86,5mm Zincado",SOPRANO
4155,Filtro de Ar com Elemento FS0070-U 3/4 BSP,SCHULZ
4156,"Filtro de Ar e Lubrificador com Proteção 1/2"" -3363",BREMEN
4160,Filtro e Regulador de Ar 1/2 Pol.,PDR
4161,Filtro e Regulador de Ar 1/4 Pol.,PDR
4162,Filtro Regulador de Ar Centurium DDA 1/2 Pol. com Protetor,ARPREX
4163,"Filtro Regulador e Lubrificador 1/4"" 7,25-116 PSI 650 L/min",BOZZA
4167,Fita Antiderrapante 50mm X 5m,3M
4168,Fita Antiderrapante Preta 50mm X 5m,TEKBOND
4169,Fita Antiderrapante Safety Fosfore 50mm X 5m,3M
4170,Fita Antiderrapante Safety PVC TR 50mm X 5m,3M
4171,Fita Antiderrapante Safety Transparente 50mm X 5m,3M
4172,Fita Crepe 18MM X 50M,TEKBOND
4173,Fita Crepe 24MM X 50M,TEKBOND
4174,Fita Crepe 48MM X 50M,TEKBOND
4175,"Fita de Aço Perfurada Âncora 17mm X 0,40mm X 30m",ANCORA
4176,Fita de Demarcação Amarela 48MM X 15M,TEKBOND
4177,Fita de Demarcação Vermelha 48MM X 15M,TEKBOND
4178,Fita de Embalagem 48mm X 50m,3M
4179,Fita de Embalagem Tartan 48mm X 50m,3M
4180,Fita de Sinalização 70mm X 200m,3M
4181,Fita Duct Tape 50MM X 10M,CARBOGRAFITE
4182,Fita Dupla Face 12mm X 20mm -21121001220,TEKBOND
4183,"Fita Dupla Face 19MM X 1,5M",TEKBOND
4184,Fita Dupla Face 4494 19mm X 5m,3M
4185,"Fita Dupla Face Espuma 12mm X 1,5m",TEKBOND
4186,Fita Dupla Face Fixa Forte 12mm X 2,3M
4187,"Fita Dupla Face Fixa Forte 24mm X 1,5m",3M
4188,"Fita Dupla Face Fixa Forte Banheiro 24mm X 1,5m",3M
4189,"Fita Dupla Face Fixa Forte Cozinha 24mm X 1,5m",3M
4190,"Fita Dupla Face Fixa Forte Espuma 12mm X 1,5m",3M
4191,Fita Dupla Face Fixa Forte Extrema 24mm X 2m,3M
4192,Fita Dupla Face Fixa Forte Transparente 12mm X 2,3M
4193,Fita Dupla Face Fixa Forte Transparente 19mm X 2,3M
4194,Fita Dupla Face Fixa Forte Transparente 24mm X 2,3M
4195,Fita Dupla Face IG 110wf 19mm X 20m,3M
4196,Fita Dupla Face IG 110wf 19mm X 5M,3M
4197,Fita Dupla Face VHB 4910 12mm X 20m,3M
4198,Fita Dupla Face VHB 4910 12mm X 5m,3M
4200,Fita Dupla Face VHB 4910 25mm X 20m,3M
4201,"Fita Dupla Face VHB 4910 9,5mm X 20m",3M
4213,"Fita Métrica Adesiva 3 Metros (Ref FAL3M, LUFKIN)",LUFKIN
4214,Fita Silver Tape 45mm X 25m,3M
4216,Fita Silver Tape DT8 50mm X 50m,3M
4217,Fita Transparente PP AA 48 X 50 MTS,ADERE
4225,Fixa Rolamento 160 Verde 50 GR,TEKBOND
4226,Fixa Rolamento 166 Cinza 50 GR,TEKBOND
4227,Fluido de Corte Ecológico 1 Eco 500ml -AY1,QUIMATIC
4229,Fluído de Corte Nº 11 500ml -AJ1,QUIMATIC
4230,Fluido para Corte N. 1 500ml -AF1,QUIMATIC
4246,Formao 1.1/4'' -327114,MAX
4311,Funil de Polietileno Amarelo com Extensão Flexível 135mm -2101,BREMEN
4312,Funil de Polietileno com Extensão Flexível -2102,BREMEN
4313,Funil de Polietileno Duas Curvas -2103,BREMEN
4314,Funil em Polietileno Amarelo Flexível 135MM -2101,BREMEN
4315,Funil Polietileno Reto 135mm -2117,BREMEN
4381,Gancho de Rede para Chumbar,MAX
4382,Gancho Multiuso Encartelado,MAX
4383,"Gancho Olhal com Trava 1,0TON",CARBOSTORM
4384,Gancho para Rede de Parede,MAX
4387,Garra Negativa 500a Bronze -Wps0383,DELTAPLUS
4389,Gaveta Plástica N.7 Azul Organizador Empilhável,PRESTO
4390,Gaveta Plástica Preta N3,PRESTO
4391,Gaveta Plástica Tamanho N 3 Azul - N3,PRESTO
4392,Gaveta Plástica Tamanho N 5 Azul - N5,PRESTO
4393,Gaxeta de Algodão Quadrada 1/4 Ensebada 1kg -122,OSTENFERRAGENS
4394,Gaxeta de Algodão Quadrada 5/16 Ensebada 1Kg -123,OSTENFERRAGENS
4396,Gerador À Diesel Monofásico,TOYAMA
4397,Gerador a Gasolina 4T 110/220V 2.2Kva S2500MG Monofásico,SCHULZ
