produto_id_inexistente,arquivos,bytes
10158,3,96322
10400,5,90342
10401,1,24462
10432,2,75167
10455,2,56126
10466,4,194624
10482,3,164457
10542,1,97369
10545,1,17012
10572,5,242765
10598,6,1655696
10599,7,1836891
10616,6,666565
10619,6,730555
10620,5,141854
1071,1,304761
10832,3,111999
10838,1,63884
10916,5,1229230
10941,3,139987
10945,3,54929
10946,2,191814
10948,3,54929
10952,3,54929
10953,3,54929
10956,3,54929
10961,3,54929
10966,3,594825
10967,3,594825
10969,3,318775
10971,2,170022
10975,3,585338
10984,3,513176
10986,3,1140394
10988,3,185146
11017,3,292762
11019,2,33983
11022,3,104064
11025,2,33983
11029,2,47337
11033,2,47337
11034,2,47337
11036,2,47337
11039,2,47337
11041,2,47337
11043,2,47337
11045,2,47337
11049,3,850209
11052,3,850209
11054,3,185146
11057,3,185146
11100,3,114016
11137,1,70081
11138,5,347684
11140,5,347684
11141,7,603342
11143,2,33983
11147,6,407484
11151,6,407484
11152,7,488039
11155,6,359578
11158,7,493969
11159,7,493969
11160,1,95749
11167,4,192838
11170,5,313766
11173,5,313766
11174,5,312769
11177,5,312769
11179,6,405671
11184,6,376178
11185,7,370507
11187,8,440601
11188,8,440601
11193,7,370507
11215,3,654953
11217,4,1147013
11219,3,670366
11222,4,1345772
11223,4,103014
11225,3,108762
11285,6,409463
11305,4,167839
11397,4,332511
11404,12,995852
11405,7,427995
11484,6,327331
11492,5,332947
11509,4,973411
11513,4,110211
11521,4,973411
11532,4,112462
11536,4,973411
11540,3,79614
11541,3,876741
11549,4,900470
11559,4,900470
11566,5,124981
11576,4,900470
11578,4,900470
11599,4,700473
11602,3,65369
11611,8,170089
11617,3,459477
11621,2,74378
11641,3,297012
11657,3,85785
11678,5,144755
11690,3,437213
11695,5,665110
11703,5,1257683
11709,4,111537
11712,5,168236
11735,6,288947
11737,4,1530827
11739,6,289999
11756,6,231601
11782,3,245124
11822,5,212311
11888,1,268780
11891,6,207394
11900,2,201074
11981,1,9034
11998,6,187194
12000,2,45318
12001,2,43590
12022,4,955065
12055,4,218582
12089,3,129289
12092,5,174580
12128,3,323822
12257,6,239532
12259,3,86730
12276,4,112104
12282,4,1934228
12289,5,390176
12336,1,59120
12338,3,247857
12405,4,204541
12414,3,101832
12428,6,2028093
12430,2,378290
12434,4,236849
12455,2,178864
12459,3,364680
12477,4,688470
12493,3,70199
12514,3,284848
12542,5,236608
12544,3,163541
12554,5,180824
12556,4,175155
12563,3,145785
12573,3,119944
12604,4,131041
12606,3,451698
12629,6,275728
12650,3,142972
12674,5,486933
12687,6,279730
12698,7,344879
12711,6,1344562
12719,4,186897
12722,3,364178
12723,4,1455362
12728,3,435152
12730,3,435152
12736,6,1398068
12744,3,99202
12767,1,111418
12768,5,1319894
12771,4,1045700
12778,3,442766
12799,5,184364
12830,6,1642270
12839,8,290474
12862,5,202525
12864,5,184278
12867,6,227914
12964,3,115476
12996,4,156388
12997,3,215213
13001,3,1307547
13003,5,1068733
13015,3,328962
13017,3,215450
13033,4,174254
13050,3,200684
13067,3,416886
13070,3,210543
13086,3,515661
13088,3,80596
13094,6,777544
13098,6,728039
13110,5,156332
13114,3,489460
13144,5,1117150
13147,7,1773049
13163,2,245992
13164,6,1241230
13168,1,179621
13181,8,1344379
13187,6,796646
13227,3,55184
13269,7,150057
13270,3,51399
13276,5,142019
