id,sku,nome,ativo,grupo
478,15420,Alicate Bico Curvo Longo VDE 160mm,1,FER
594,8080,Alicate Eletricista 8 - ®,1,FER
669,32133-0,"Alicate Tipo Telefone Bico Curvo 45° VDE 6.1/4"" - 091.845",1,FER
685,8078-0,"Alicate Universal 8"" - ® -219022BBR",1,FER
706,270-0,Aneis Trava Interno 50,1,PAR
793,26336,Bico de Contato 1.2mm M6 X 28,1,FER
830,14230-0,Bigorna de Aço Nodular N°3 30kg,1,AUT
934,18985-0,Broca 3 Ponta para Madeira 10mm -HT,1,FER
1024,8522-0,"Broca Aço Rápido 22,00mm",1,FER
1092,8535,Broca Aço Rapido Cônica 1.1/4 -38873,1,FER
1127,8186-0,Broca Aço Rápido Paralela 1/8,1,FER
1134,8274-0,Broca Aço Rápido Paralela 25 mm,1,FER
1183,8554-0,Broca Aço Rapido Titanio 5mm -37986,1,FER
1252,8531-0,Broca Cônica Ar Haste 1.3/8 -38876,1,FER
1269,26719-0,Broca de Centro Hss Cônico Reto 60° 7/32 X 1/2 -A225BS5A,1,FER
2125,28701-0,Chave Combinada Angulada 45° 1.1/2,1,FER
2126,28643-0,Chave Combinada Angulada 45° 1.1/4,1,FER
2127,28691-0,Chave Combinada Angulada 45° 1/2,1,FER
2128,28647-0,Chave Combinada Angulada 45° 1.3/8,1,FER
2129,28649-0,Chave Combinada Angulada 45° 1.7/16,1,FER
2131,28715,Chave Combinada Angulada 45° 11MM,1,FER
2132,28717-0,Chave Combinada Angulada 45° 12MM,1,FER
2133,28719-0,Chave Combinada Angulada 45° 13MM,1,FER
2134,28721-0,Chave Combinada Angulada 45° 14MM,1,FER
2135,28699-0,Chave Combinada Angulada 45° (Ref 15/16),1,FER
2136,28723-0,Chave Combinada Angulada 45° 15MM,1,FER
2137,28725-0,Chave Combinada Angulada 45° 16MM,1,FER
2138,28727-0,Chave Combinada Angulada 45° 17MM,1,FER
2139,28655-0,Chave Combinada Angulada 45° 18MM,1,FER
2140,28657-0,Chave Combinada Angulada 45° 19MM,1,FER
2141,28659-0,Chave Combinada Angulada 45° 20MM,1,FER
2142,28729-0,Chave Combinada Angulada 45° 21MM,1,FER
2143,28661-0,Chave Combinada Angulada 45° 22MM,1,FER
2144,28665-0,Chave Combinada Angulada 45° 24MM,1,FER
2145,28667-0,Chave Combinada Angulada 45° 25MM,1,FER
2146,28669-0,Chave Combinada Angulada 45° 27MM,1,FER
2147,28673-0,Chave Combinada Angulada 45° 28MM,1,FER
2148,28637-0,Chave Combinada Angulada 45° (Ref 3/4MM),1,FER
2149,28625-0,Chave Combinada Angulada 45° 30MM,1,FER
2150,28671-0,Chave Combinada Angulada 45° 32MM,1,FER
2151,28627,Chave Combinada Angulada 45° 34MM,1,FER
2152,28677-0,Chave Combinada Angulada 45° 36MM,1,FER
2153,28629-0,Chave Combinada Angulada 45° 38MM,1,FER
2154,28631,Chave Combinada Angulada 45° 41MM,1,FER
2155,28733-0,Chave Combinada Angulada 45° 42MM,1,FER
2156,28679,Chave Combinada Angulada 45° 48MM,1,FER
2157,28681-0,Chave Combinada Angulada 45° 50MM,1,FER
2158,28705-0,Chave Combinada Angulada 45° 6MM,1,FER
2159,28697-0,Chave Combinada Angulada 45° 7/8,1,FER
2160,28707-0,Chave Combinada Angulada 45° 7MM,1,FER
2161,28709-0,Chave Combinada Angulada 45° 8MM,1,FER
2162,28693-0,Chave Combinada Angulada 45° 9/16,1,FER
2163,28711-0,Chave Combinada Angulada 45° 9MM,1,FER
2388,27155-0,"Chave Combinada Invertida com Catraca 8mm (Ref ST46301, SATA)",1,FER
2435,20427-0,"Chave de Catraca Reversível 1/4"" e Um Arco de Catraca de 3°",1,FER
2812,29093-0,Chave Estrela Angulada 75° 1/2 X 9/16,1,FER
2813,29109-0,Chave Estrela Angulada 75° 14 X 15 mm,1,FER
2814,29117-0,Chave Estrela Angulada 75° 24 X 26 mm,1,FER
2815,29091-0,Chave Estrela Angulada 75° 3/8 X 7/16,1,FER
2816,29101-0,Chave Estrela Angulada 75° 6 X 7 mm,1,FER
2817,29103-0,Chave Estrela Angulada 75° 8 X 9 mm,1,FER
2843,28060-0,"Chave Estrela de Bater 55mm (Ref ST48517, SATA)",1,FER
2844,28062-0,"Chave Estrela de Bater 60mm (Ref ST48519, SATA)",1,FER
2845,28064-0,"Chave Estrela de Bater 65mm (Ref ST48520, SATA)",1,FER
2846,28050-0,"Chave Estrela de Bater 70mm (Ref ST48521, SATA)",1,FER
3441,14863-0,Colete X Refletivo Laranja e Branco,1,SEG
3448,8617-0,Colher de Pedreiro N.8,1,CON
3542,16167-0,Correia B-61 em ''V'' -ACV1020061,1,FER
3550,16211-0,Correia B114 em ''V'' -Acv1020114,1,FER
3590,18599-0,Cossinetes Manuais 1x3/8 UNF,1,FER
3771,18883-0,Disco Flap Carbosilver P-40 -78072716520,1,FER
3782,14720-0,Disco Flap Zirconia -66623313811,1,FER
3787,14677-0,"Eixo para Serra Circula N°00-3/8"" -ES103",1,FER
3788,14682,"Eixo para Serra Circular de 1.1/4"" 700mm 3CV N°04",1,FER
3789,14678-0,"Eixo para Serra Circular de 1/2"" 200mm 1CV N°0",1,FER
3790,14681-0,"Eixo para Serra Circular de 1"" 500mm 2,5CV N°03",1,FER
3791,14680-0,"Eixo para Serra Circular de 3/4"" 400mm 2CV N°2",1,FER
3795,14582-0,"Eletrodo de Alumínio 96.50 2,50mm com Caixa 2kg",1,FER
3834,14512-0,"Eletrodo OK 63.30 2,5mm Caixa com 2KG",1,FER
3856,26800,"Eletrodo Revestido 3.25mm Aço Caixa 5 kg WEST ARCO 7019 (Ref 749782, ESAB)",1,FER
4239,14826-0,Folha de Lixa Massa A257 -69957385065,1,FER
4439,930-0,Grampo Marceneiro N° 200 200mm,1,FER
4440,931-0,Grampo Marceneiro N° 300 300mm,1,FER
4441,932-0,Grampo Marceneiro N° 400 400mm,1,FER
4442,933-0,Grampo Marceneiro N° 500 500mm,1,FER
4450,929-0,Grampo Tipo C Sargento N° 2 57mm,1,FER
4455,14749-0,Graxeira Reta Nf Rf -120010015,1,AUT
4687,29123-0,Jogo de Chave Estrela Angulada 75° 12 Peças 6 a 32mm,1,FER
4688,29131-0,Jogo de Chave Estrela Angulada 75° 8 Peças 6x7 a 20x22,1,FER
4821,9391-0,"Jogo de Macho Aço Rápido 16 X 2,0 MA HT 3 Unidades",1,FER
4916,8823-0,Jogo de Soquete Sextavado 25 Peças,1,FER
4941,11329-0,Jogo de Soquetes Pass-thru® X6 24 Peças,1,FER
5085,14746-0,Lâmina para Máquina de Cortar Vergalhão N°0,1,CON
5196,15286-0,Lima Rotativa Árvore Arredondada HT Hansa 10mm X 19mm X 65mm,1,FER
5197,15288,Lima Rotativa Árvore Arredondada HT Hansa 12mm X 25mm X 70mm,1,FER
5198,15284-0,Lima Rotativa Árvore Arredondada HT Hansa 6mm X 19mm X 50mm,1,FER
5203,15304-0,Lima Rotativa Cilíndrica com Corte no Topo HT Hansa 12mm X 19mm X 65mm,1,FER
5205,15303-0,Lima Rotativa Cilíndrica com Corte no Topo HT Hansa 16mm X 25mm X 70mm,1,FER
5207,15302-0,Lima Rotativa Cilíndrica com Corte no Topo HT Hansa 6mm X 19mm X 75mm,1,FER
5208,15309-0,Lima Rotativa Cilíndrica com Corte no Topo HT Hansa 6mm X 25mm X 50mm,1,FER
5215,15305-0,Lima Rotativa Cilíndrica HT Hansa 10mm X 19mm X 65mm (Ref 90785),1,FER
5217,15310,Lima Rotativa Cilíndrica HT Hansa 12mm X 19mm X 65mm,1,FER
5224,15291-0,Lima Rotativa Cônica HT Hansa 12mm X 19mm X 65mm,1,FER
5225,15289-0,Lima Rotativa Cônica HT Hansa 6mm X 19mm X 50mm,1,FER
5226,15282-0,Lima Rotativa Esférica HT Hansa 10mm X 9mm X 53mm,1,FER
5227,15283-0,Lima Rotativa Esférica HT Hansa 12mm X 10mm,1,FER
5228,15280-0,Lima Rotativa Esférica HT Hansa 6mm X 5mm,1,FER
5264,16802-0,Lixa Folha D'água TLT A320 B07,1,FER
5276,14827-0,Lixa Massa Grão 120 225x275mm com 50 Unidades,1,FER
5308,13349-0,Lona de Polietileno Azul 6129033000 -6129033000,1,CON
5413,9449-0,"Macho Manual Aço Rápido NPT 3/8"" X 18 FPP Canal Reto HSS",1,FER
5465,14747-0,"Máquina Cortar Vergalhão Cabo 5/8"" N°1",1,CON
5524,9323,Marreta sem Cabo 10Kg,1,FER
5554,9285-0,Martelo Bola -40410024,1,FER
5681,12459-0,Morsa Mecânica com Base Giratória 360° 4,1,AUT
5686,15252,Morsa/torno para Máquinas 65mm N°2,1,AUT
5818,9504-0,Pá Bico Cabo Madeira N°4,1,CON
6279,5691-0,Parafuso Chipboard Cabeça 3.1 X 12 (1 Peça),1,PAR
6280,5692-0,Parafuso Chipboard Cabeça 3.5 X 12 (1 Peça),1,PAR
6282,5693-0,Parafuso Chipboard Cabeça 3.5 X 16 (1 Peça) Chata,1,PAR
6283,5694-0,Parafuso Chipboard Cabeça 3.5 X 21 (1 Peça),1,PAR
6285,5695-0,Parafuso Chipboard Cabeça 3.5 X 31 (1 Peça),1,PAR
6289,5706-0,Parafuso Chipboard Cabeça 4.0 X 25 (1 Peça) Chata,1,PAR
6291,5708-0,Parafuso Chipboard Cabeça 4.0 X 40 (1 Peça) Chata,1,PAR
6292,5705-0,Parafuso Chipboard Cabeça 4.0 X 50 (1 Peça) Chata,1,PAR
6295,5696-0,Parafuso Chipboard Cabeça 4.1 X 12 (1 Peça),1,PAR
6296,5697-0,Parafuso Chipboard Cabeça 4.1 X 16 (1 Peça),1,PAR
6297,5698-0,Parafuso Chipboard Cabeça 4.1 X 21 (1 Peça),1,PAR
6298,5699-0,Parafuso Chipboard Cabeça 4.1 X 31 (1 Peça),1,PAR
6299,5707-0,Parafuso Chipboard Cabeça 4.5 X 20 (1 Peça) Chata,1,PAR
6300,5709-0,Parafuso Chipboard Cabeça 4.5 X 25 (1 Peça) Chata,1,PAR
6301,5710-0,Parafuso Chipboard Cabeça 4.5 X 30 (1 Peça) Chata,1,PAR
6306,5704-0,Parafuso Chipboard Cabeça 4. X 45 (1 Peça),1,PAR
6307,5702-0,Parafuso Chipboard Cabeça 5.0 X 25 (1 Peça) Chata,1,PAR
6308,5703,Parafuso Chipboard Cabeça 5.0 X 30 (1 Peça) Chata,1,PAR
